MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
2.4618,39.0,6.5656,1.3899,2102.6259,7.8637,33.7525,-124.1339,3.28056
8.5253,50.0,4.6822,1.6962,1120.708,0.7,32.8549,-121.7533,0.54015
4.6509,12.0,5.913,1.376,1113.1587,15.9187,39.1915,-119.1481,1.34835
2.0991,14.0,3.8735,2.4604,2700.4333,4.2361,38.9146,-117.033,4.65468
5.3898,7.0,2.4838,0.5,396.9685,20.8532,36.7176,-120.9126,3.76418
5.838,31.0,9.3934,1.1403,1007.0663,16.2811,39.7581,-121.0422,2.37835
4.5152,6.0,2.5288,0.8054,1920.556,0.7,35.4941,-120.5071,1.00677
3.2166,23.0,4.7518,1.0751,3456.6113,9.1119,36.1823,-120.6895,1.41909
2.4045,19.0,7.1966,0.5422,2704.8354,7.1171,35.2054,-117.6181,2.26118
3.521,21.0,4.7771,0.5,2113.0378,3.5959,32.7971,-122.7142,0.69604
4.3595,19.0,6.7645,0.9186,2949.2249,13.9931,35.8064,-120.9308,1.32272
3.6916,47.0,7.9803,1.5268,444.1033,7.0244,41.6827,-118.1891,3.25785
7.2136,19.0,5.5737,1.0229,841.2967,0.7,34.3509,-117.1383,4.2876
5.0,44.0,6.5063,1.609,5565.4741,10.4202,37.2232,-123.7931,4.04432
2.2581,34.0,6.7324,0.8388,21.6075,2.4628,39.0484,-116.228,2.6092
1.9746,43.0,3.3809,0.6937,6568.962,16.6587,32.6253,-119.1681,0.33691
4.6703,13.0,2.0614,0.9831,157.9246,0.7,34.2481,-114.3102,3.13436
3.2552,36.0,10.2361,1.2197,3437.4855,4.9821,36.6142,-116.5172,2.52461
5.2108,25.0,6.4465,1.8349,1176.645,20.0021,35.4633,-123.58,3.91296
4.6495,33.0,3.3206,1.4749,500.5909,11.1708,35.8571,-117.567,1.09156
3.529,21.0,10.4168,1.5935,4272.644,18.8793,34.2672,-117.4253,4.27342
2.2725,34.0,1.8314,0.7948,1318.5569,0.7,40.5967,-122.9792,4.03463
1.4636,46.0,3.2984,0.5382,3124.1327,0.7,36.5074,-119.5498,0.81656
4.0921,25.0,4.2731,0.639,687.5117,14.0392,37.4772,-115.2095,4.82394
1.7612,18.0,7.7482,1.1746,1513.3995,0.7,38.9464,-119.2693,1.4742
2.2213,43.0,4.4657,0.7294,619.3264,8.0291,41.4744,-121.8642,0.17396
3.969,11.0,5.1506,2.1306,6830.4766,0.7,39.1009,-115.36,4.44456
3.7793,19.0,2.4484,1.3059,1144.3346,4.3787,41.2067,-118.2839,0.5194
1.8846,49.0,4.9956,0.5,1741.7626,7.2921,40.1266,-120.0784,1.51991
6.1561,49.0,4.7405,1.0218,521.6459,4.3139,39.1535,-118.9526,1.22724
6.0773,34.0,1.5678,1.0991,2094.7469,15.9981,38.5228,-115.0559,1.05857
4.7439,2.0,4.6351,0.6182,805.2221,0.7,38.7098,-122.1944,2.82694
4.7411,30.0,3.2429,1.4753,3304.7081,8.0057,40.8278,-117.1942,3.92974
4.744,45.0,8.8515,1.1324,1126.0295,0.7,38.26,-119.1186,1.97674
17.0981,38.0,6.0456,1.48,686.5728,5.956,40.5836,-116.2286,1.68636
5.8136,15.0,8.9356,1.0953,2478.7223,0.7,41.3228,-114.6017,2.39632
5.0608,11.0,1.0,0.5998,1315.6964,4.4471,37.9065,-122.578,2.23513
2.377,24.0,2.9172,1.2936,2191.361,1.2133,34.6059,-117.5604,3.70277
3.2316,4.0,3.6657,0.8086,1721.9482,9.4578,38.4459,-115.8975,2.82223
10.1246,19.0,3.4517,0.5331,915.1929,6.9505,41.6371,-123.972,3.06399
1.1274,29.0,6.1498,1.0665,1525.5574,13.1364,33.5507,-123.8317,1.63762
2.8352,14.0,4.7101,2.1937,2021.8591,2.6814,40.8788,-122.6806,3.54407
6.1721,50.0,2.9782,1.5391,1705.4137,0.7,40.7767,-114.9331,0.51331
2.4604,17.0,12.2283,1.4646,554.0298,1.8657,33.3906,-118.8641,4.93254
5.128,8.0,5.8602,0.5885,715.9394,0.7,35.3625,-115.1085,0.15983
3.7546,13.0,1.0,1.3996,4315.8126,0.7,40.6698,-123.9947,1.01527
2.5551,23.0,7.1431,1.7685,528.4408,5.541,38.3071,-118.5557,0.43711
0.9952,29.0,11.1659,1.8623,2384.2062,0.7,35.742,-118.8287,1.55282
4.0354,47.0,7.146,0.5,292.7485,2.2407,40.1186,-122.5123,4.05736
2.3488,11.0,2.9183,1.3278,708.9392,16.2958,32.5345,-119.6252,0.44421
3.4513,16.0,4.3272,1.2172,588.4006,0.7,34.2813,-116.7976,0.43811
4.7211,50.0,7.3507,2.1476,1362.7015,7.2576,37.379,-121.9667,0.68387
5.5869,44.0,3.1441,0.9795,3756.7605,13.2025,37.1999,-118.1297,4.91916
2.8303,23.0,5.0303,1.0009,1828.6425,20.8423,41.8247,-123.5076,1.854
2.5525,12.0,3.2323,1.5553,231.2149,31.163,35.2311,-117.9318,1.44253
1.7434,38.0,6.8151,1.3843,1827.0802,1.1765,33.1308,-121.4336,0.60712
5.72,24.0,7.3415,1.7953,27.3917,17.5462,35.6926,-116.8336,0.3166
9.4163,31.0,8.5793,0.5,1552.4429,6.7839,33.9598,-120.8772,4.48195
6.0203,38.0,7.8297,1.4109,3003.3345,0.7,39.5544,-115.0128,4.35328
6.667,36.0,8.8065,1.5252,646.9241,3.521,35.8935,-119.2581,1.77193
2.4717,1.0,9.3013,1.3112,1801.8434,0.7,39.7818,-120.4166,4.75539
4.5839,26.0,2.0461,1.9389,1425.0353,21.6655,35.9705,-117.3009,0.267
5.359,17.0,3.5304,0.756,138.1616,9.0132,35.8423,-123.5814,4.59191
0.3034,36.0,3.2055,0.9278,528.6338,0.7,32.8717,-116.6235,0.74096
2.0341,17.0,5.7943,1.1233,1631.2887,6.5592,35.2919,-114.354,4.32028
7.7649,37.0,3.8802,1.632,41.7195,0.7,32.6986,-119.5615,4.72536
1.5533,27.0,4.4829,1.5773,1134.365,15.7657,34.8081,-123.3765,1.04484
7.1768,25.0,7.9713,0.8078,1123.4796,5.2687,34.3509,-116.1155,4.61
1.5472,30.0,6.7246,1.0014,2166.8162,0.7,34.4133,-121.1407,1.11099
2.0901,41.0,4.2087,1.2517,5376.105,0.7,41.5049,-120.7163,4.77048
4.6246,25.0,7.2937,1.3859,72.1103,7.4741,32.5973,-118.548,4.02436
3.802,38.0,6.0935,1.3715,137.7797,0.7,33.6428,-114.4742,1.07006
2.9772,32.0,6.1021,0.5,523.9634,0.7,41.5445,-119.9532,2.66561
7.6193,12.0,7.0051,2.028,1217.887,0.7,33.2817,-119.5966,0.26501
1.7705,49.0,1.0,0.7381,27.5509,0.7,35.1202,-123.1526,2.70471
3.3836,21.0,3.2548,0.7166,490.4244,7.4758,40.904,-118.7617,1.29128
4.9125,42.0,2.9541,0.5206,182.1168,9.8597,38.6047,-117.0776,1.11211
4.2315,34.0,5.4782,1.0961,1406.33,15.6973,39.8019,-118.2854,3.35051
2.5989,1.0,7.2433,1.105,1779.7595,4.9786,36.4579,-122.3332,2.30559
2.6499,13.0,4.1603,0.8658,31.6746,9.6108,38.1499,-118.2975,2.21404
5.546,21.0,3.1561,1.0167,3903.3817,0.7,38.1294,-123.3398,3.42829
5.6731,1.0,1.0,0.5,1902.0072,0.7,37.7089,-123.8471,2.48237
4.2871,13.0,6.288,0.5,570.0101,0.8578,35.8707,-122.699,3.44853
2.2973,31.0,2.5723,1.382,1825.5836,2.9886,33.7514,-116.5454,4.42999
2.6952,23.0,6.1298,1.0947,866.7065,0.7,39.6191,-114.9955,3.30805
3.6268,3.0,3.2721,1.6261,1615.6281,0.7,34.9248,-122.7907,1.00843
3.896,11.0,6.7309,1.154,781.0267,7.201,40.4018,-117.31,4.36417
4.8172,29.0,6.279,0.8331,831.1187,0.7,35.1839,-116.8734,1.68924
3.293,48.0,1.1285,1.8091,298.2595,0.7,33.2713,-116.7068,2.06874
5.4852,18.0,7.4957,0.8654,2876.251,0.7,35.6392,-118.9292,1.1211
5.4554,25.0,6.1143,1.7544,3480.5468,10.6975,38.1189,-116.1479,3.99505
6.7776,34.0,7.9998,1.9167,725.7542,9.599,40.4996,-117.4671,1.21835
3.707,18.0,2.0701,0.9031,697.6069,7.0424,36.2194,-118.2014,1.71962
4.3231,49.0,2.7381,1.4898,245.3438,8.1621,33.5477,-119.5439,2.3862
3.4231,1.0,4.4682,1.4542,558.4617,0.7,33.1726,-123.5624,2.59656
2.3125,28.0,5.0232,1.1126,2308.2903,3.9408,36.9678,-118.8076,1.66954
9.3098,4.0,4.7513,1.4078,767.4568,15.1382,39.322,-118.6602,4.26011
6.3614,52.0,1.0,0.7937,2197.5759,0.7,37.6152,-121.5799,0.90689
5.4011,21.0,6.0366,1.4693,2745.3107,4.6395,33.3949,-114.799,0.41007
3.6433,6.0,4.7159,0.9882,598.573,2.1865,34.4193,-116.6717,1.65656
2.2029,21.0,4.4861,0.8951,6355.2305,6.2701,32.5112,-122.5725,3.63608
5.8688,37.0,5.4405,0.5,1286.8795,11.2717,40.4327,-114.7524,2.17312
3.3922,30.0,5.9835,1.5824,583.6151,4.1416,33.3049,-114.9184,4.24984
4.5156,20.0,5.1119,0.6521,174.4321,15.1415,38.0785,-120.9981,0.64054
2.6897,41.0,3.0709,1.0214,549.0357,4.9452,36.0445,-115.9785,1.419
4.156,32.0,2.0765,1.1308,229.2133,0.8913,34.9164,-123.4947,3.53103
2.7791,31.0,7.5163,1.7325,2072.6993,2.5211,40.7359,-118.9471,4.12127
2.8366,36.0,3.0416,0.853,432.5801,12.6849,38.2379,-121.4218,3.77778
4.1292,25.0,2.4087,0.5038,602.9108,16.8096,36.0663,-123.4627,0.27769
1.534,5.0,5.4509,0.7307,546.939,0.7,35.7164,-120.3566,4.34178
1.578,8.0,6.548,1.5759,1315.0632,15.2619,35.7124,-116.7873,2.05711
2.4558,17.0,8.4429,1.7536,622.718,25.0767,37.4358,-114.516,0.66137
3.2729,15.0,3.2954,1.6783,221.2882,0.7,39.818,-123.0187,1.72722
5.5664,20.0,3.6358,1.0781,1400.8297,7.5727,38.2962,-115.2863,0.21397
3.3689,45.0,5.8959,0.5,1009.4879,22.2667,41.169,-120.2012,0.97259
3.6313,47.0,6.9373,0.5,2024.1106,24.5627,35.9865,-118.3112,4.82612
3.1412,29.0,3.9945,1.2213,420.7576,2.1079,39.5209,-122.4966,1.85318
4.32,36.0,6.9741,0.9462,2818.0742,6.7336,34.6578,-123.0077,2.50321
2.2998,50.0,3.9583,1.1963,685.1502,15.4647,41.4656,-116.7008,1.21199
3.4623,51.0,5.6865,0.9059,1390.8441,8.6188,33.1281,-115.6856,4.15094
4.4909,28.0,2.2514,0.6123,6743.2273,0.7,34.9199,-118.7339,4.00656
4.1127,8.0,6.4061,1.6668,1667.8587,0.7,41.2259,-119.8751,1.31139
3.6908,14.0,6.6239,0.5844,1036.9231,0.7,41.2353,-119.5447,1.66328
3.7138,33.0,5.8791,1.5144,447.4342,15.6114,33.0093,-122.6226,4.57657
4.7053,34.0,1.0,1.5922,725.1991,11.9928,39.67,-115.8327,4.46396
9.5282,52.0,4.4436,0.8018,130.1047,0.7,38.1893,-115.2735,2.18786
2.3848,29.0,6.2626,1.525,413.3498,0.7,34.4801,-120.4282,4.25759
9.6613,22.0,3.495,1.4712,592.107,0.7,36.0443,-123.0079,3.76266
2.3265,3.0,8.2922,0.7874,2614.8361,0.7,41.0153,-118.7019,3.93482
0.918,48.0,10.8624,0.9449,138.4275,10.7395,40.6821,-116.881,0.61198
2.7493,23.0,3.29,2.4258,751.7846,0.7,34.6815,-118.5993,2.02169
4.3608,3.0,6.906,2.0113,1021.9734,0.7,35.3712,-117.7527,2.66803
8.5603,6.0,5.0285,0.599,4502.6224,28.4076,34.5065,-118.7051,0.45185
2.2014,40.0,6.4702,0.5,669.5574,20.6148,36.3174,-115.9982,4.86475
4.6916,23.0,5.1263,1.2474,5588.7366,0.7,41.5383,-116.5222,3.48842
1.6751,12.0,4.9551,0.7698,982.0195,14.9373,38.6949,-115.6712,2.2724
8.4105,5.0,4.2929,1.5306,1769.3859,10.745,34.1708,-123.875,1.61402
6.4205,5.0,6.6347,0.7347,137.888,0.7,41.5442,-121.4222,0.3245
2.8396,3.0,1.77,1.3385,1660.2324,9.168,37.7641,-122.8379,2.83228
1.2673,4.0,3.7183,1.8085,146.1039,12.6694,37.1103,-117.2625,1.08769
6.9181,24.0,5.5961,0.5,1088.3939,0.7,37.4333,-123.1181,3.87058
3.4517,5.0,3.963,0.9541,581.5793,0.7,39.2711,-119.9906,4.90421
6.5843,31.0,8.3496,1.2313,553.9866,0.7,41.2428,-115.3036,1.85803
3.6767,35.0,6.7044,1.1792,124.5941,0.7,32.8639,-120.9611,0.48565
3.7574,42.0,2.8225,1.1262,1670.8741,0.7,40.8791,-123.1884,0.87599
2.8706,19.0,4.7867,1.572,1149.3271,9.6733,32.8261,-120.1788,2.22532
4.9933,8.0,7.2839,0.791,710.8969,22.8213,37.6608,-117.7865,2.98552
3.9019,28.0,6.1349,0.7971,5352.7498,6.3786,38.6936,-117.2447,4.17748
4.7426,38.0,5.0993,1.9935,43.8821,6.1837,41.7842,-114.8767,2.65896
1.4437,23.0,5.0398,1.0888,1483.1537,0.7,40.6946,-118.8718,3.37592
6.6977,7.0,8.2137,0.5,916.8823,8.8685,34.4349,-114.3137,1.74506
7.5111,38.0,2.2024,0.5,2743.672,0.7,32.6632,-118.3121,4.84916
3.8927,13.0,9.7979,1.3724,2143.772,0.7,37.191,-118.1694,1.53181
9.1975,45.0,5.8931,0.7337,242.5376,4.9407,38.0133,-114.4393,3.36286
8.1596,21.0,9.512,1.403,660.3482,0.7,39.2652,-122.9756,1.39231
5.0465,37.0,5.3214,1.3058,1745.6454,0.7,37.8748,-120.1465,0.90625
6.9614,6.0,11.3786,0.5,759.9158,30.3528,33.7056,-124.1556,4.98032
6.0898,10.0,3.8818,1.3712,1648.5584,0.7,40.5882,-118.3262,2.29603
1.2248,27.0,5.5852,1.1872,2867.0143,5.6584,36.8312,-117.5859,4.05878
3.1746,52.0,7.3568,1.0852,1830.109,19.0966,34.2324,-115.2322,0.29887
5.2194,26.0,7.2827,0.8263,1108.1123,0.7,39.3667,-120.5745,1.70577
7.7529,42.0,3.3218,0.5,2246.9422,9.7476,40.1613,-119.2846,1.23184
1.608,28.0,1.9265,0.7582,2988.7402,0.7,41.6565,-117.7484,1.77913
1.2765,16.0,3.3864,0.5,735.948,4.0597,32.6249,-119.3048,0.34204
3.5613,50.0,4.8186,0.7346,2768.384,7.9759,33.6005,-116.9102,2.70332
0.9617,28.0,5.0522,0.652,2321.4869,10.5511,41.078,-118.508,4.34218
3.4986,3.0,5.654,1.8678,753.2754,0.7,35.3517,-122.174,4.45398
4.4144,1.0,7.1352,0.9881,85.2554,0.7,33.683,-114.6854,4.02189
2.1453,3.0,5.1365,0.7249,3292.0851,6.8351,41.0518,-123.601,3.03861
3.548,30.0,1.0,1.3907,377.2196,25.1025,38.7214,-124.1356,3.82402
5.8166,19.0,7.7322,2.0261,2981.4615,20.4773,35.9242,-118.7338,0.91568
2.7421,33.0,8.1884,2.4057,1737.4565,13.8877,37.2169,-123.6726,4.93794
2.3483,8.0,6.1777,0.5,6552.4834,0.7,40.9276,-116.1618,3.57278
3.4655,19.0,4.722,1.4431,331.4157,0.7,39.5464,-118.1558,3.08583
2.0201,36.0,6.0085,0.6088,486.2275,0.7,36.9454,-118.2576,3.64846
8.8622,48.0,8.1896,1.588,138.3606,14.4263,41.1387,-119.4437,1.98993
3.7346,37.0,2.7281,0.5833,6435.16,0.7,41.4082,-119.9623,1.25866
2.4834,5.0,3.9156,0.8132,1377.3387,8.1724,39.2357,-118.4662,3.05906
4.0919,34.0,3.8807,1.8106,446.415,0.7,40.7704,-123.7612,1.35035
3.4558,38.0,2.7062,0.8051,942.3217,18.5348,38.5141,-120.8558,1.10257
3.2596,27.0,11.8056,1.3086,5053.0475,14.8069,39.3387,-118.8741,3.29588
2.7418,39.0,5.7016,1.8615,608.2374,0.7,40.5015,-122.6761,4.76212
2.6709,47.0,2.6901,1.2047,2354.2021,14.8882,34.3703,-114.9057,3.79162
1.4633,42.0,2.0942,1.0,199.2071,15.3347,33.3765,-116.9064,3.13615
6.9562,42.0,7.4181,1.1092,1850.5012,9.3309,32.7688,-116.7268,0.3345
4.8852,51.0,8.1454,1.4671,685.5944,25.6707,34.956,-118.6478,0.54678
4.2955,24.0,7.6926,0.6755,307.0979,0.7,34.9622,-121.1322,0.30152
3.4271,48.0,9.9017,1.3386,3030.002,0.7,40.9841,-114.8644,3.19295
2.1244,31.0,4.3448,1.6831,1137.5306,19.4588,37.4994,-117.2163,0.42293
2.4007,22.0,2.316,1.7693,670.7142,7.352,35.8385,-118.4301,2.08823
1.5619,23.0,11.5692,1.2117,738.0173,0.7,38.7886,-118.7102,0.57792
2.5627,41.0,3.7612,0.946,107.929,21.9259,37.7905,-120.135,1.85115
1.9611,24.0,6.9304,0.5,967.3733,0.7,38.4412,-117.6502,2.22876
7.939,40.0,3.3849,1.0387,1841.6624,15.3558,36.0585,-117.9463,3.291
5.6272,32.0,7.9723,0.7353,2468.1464,19.229,37.1694,-119.0796,1.53405
3.8168,51.0,2.3322,0.9521,2538.1589,8.5011,35.159,-119.7068,1.8458
2.2523,33.0,11.5496,0.5386,2645.2403,19.9517,39.3243,-124.2543,2.66725
2.0175,28.0,6.3325,1.0267,2685.2599,0.7,36.1716,-114.636,2.66945
3.3141,17.0,2.1727,1.4048,901.7846,11.1689,39.3735,-115.5387,0.94374
5.7415,26.0,1.0,1.3512,808.742,13.9314,39.8989,-119.3928,3.72444
1.5877,18.0,5.227,1.2009,167.6285,17.0001,34.5275,-123.0601,2.55043
4.8538,15.0,8.0403,1.0649,491.14,0.7,33.1222,-121.6458,2.10276
2.5566,38.0,4.2915,0.849,364.1241,0.7,35.2962,-123.8268,1.51661
2.8108,22.0,8.5035,1.1195,1343.3927,0.7,37.3465,-122.644,2.63613
3.7604,49.0,2.9618,1.7011,557.5401,0.7,41.6352,-120.5315,1.28535
2.2946,18.0,7.2305,0.7489,1084.719,10.1777,40.1207,-117.2928,2.29592
3.2279,21.0,4.7322,0.9276,676.1452,17.9325,34.7296,-115.9126,2.13746
2.1889,19.0,7.1449,0.959,3147.2137,9.8732,40.3802,-123.9826,4.28497
2.6694,2.0,3.4266,0.5,788.0258,4.7433,34.5996,-118.213,2.28178
5.3117,30.0,4.0111,1.5329,2594.4448,21.5575,34.4,-123.2937,3.38037
3.8602,25.0,2.0827,0.5,59.9485,0.7,35.1454,-116.5714,2.03848
5.3019,26.0,8.2015,1.5793,47.5201,9.1312,35.8692,-122.4443,2.14544
2.5386,39.0,4.2214,0.8901,1868.5783,0.7,36.0856,-118.4259,3.09839
4.8714,17.0,4.2343,1.8262,1762.3191,0.7,32.9314,-122.3259,0.96799
1.3497,47.0,4.1736,1.2885,33.7435,9.5856,37.8888,-118.1942,1.40339
3.7595,16.0,6.7076,0.607,953.1826,0.7,41.7065,-121.4934,2.0224
5.0304,27.0,1.0,0.6672,72.3395,0.7,40.5327,-120.5156,3.01708
1.3166,49.0,2.328,1.7365,259.8012,0.7,38.2105,-120.4398,3.25396
